rank,registration number,title,study type,study phase,source of funding,funded (original),technology approach,application setting,application of a digital placebo,purpose of intervention,medical specialty (ICD-11),target Disease / conditions,study design,study purpose,registered,duration_month,arm,sample size,implementation site_1,implementation site_1_location,implementation site_2,implementation site_2_location,implementation site_3,implementation site_3_location,implementation site_4,implementation site_4_location,implementation site_5,implementation site_5_location,implementation site_6,implementation site_6_location,implementation site_7,implementation site_7_location,implementation site_8,implementation site_8_location,implementation site_9,implementation site_9_location,implementation site_10,implementation site_10_location,recruitment status,age_min,age_max,sex,randomization,randomization_method,masking,masking (original)
11,ChiCTR2400080052,influence of family-centered early intervention associated remote feedback from hospital on early development of very preterm infants,Interventional,Early Phase 1,national government/fund,中国疾病预防控制中心妇幼保健中心母婴营养与健康研究项目,Guided,Non-hospital,No,Prevention,Factors influencing health status or contact with health services,very preterm infants,Parallel Assignment,探究规范、高效的早期干预方法，以减少早期早产儿生后早期运动、认知等发育迟缓、脑瘫等发生率，促进早产儿童健康成长，减轻社会及家庭负担。  ,2022,18.03333333,2,160,南方医科大学附属深圳市妇幼保健院 ,广东省,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Completed,0,0,All,randomized-NP,"The envelope method was used for grouping randomly, and parents and assessors do not know the classification of infants to avoid subjective assessment bias. Parents draw sealed envelopes for grouping.","double(participant, care provider)",双盲
12,ChiCTR2400079467,Application of Remote Cardiac Rehabilitation in Patients with Coronary Heart Disease: A Randomized Controlled Study,Interventional,Phase 1,hospital/university,中央高水平医院临床科研业务费,Guided,Non-hospital,No,Management,Diseases of the circulatory system,Coronary Heart Disease,Parallel Assignment,本研究旨探索基于远程技术的冠心病居家康复对患者活动能力、心血管病危险因素及生活质量的影响，为冠心病患者远程康复治疗、指南制定提供高级别的循证医学证据。  ,2024,12.16666667,2,2000,北京协和医院 ,北京市,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Recruiting,18,60,All,simple randomization,Randomly divide the enrolled patients into two groups using a random number table method,Open label,无
13,ChiCTR2300078930,Effectiveness of telerehabilitation for patients with patellofemoral pain,Interventional,Early Phase 1,national government/fund,中央高校基本业务金和国家社会基金,Fully-automated,Non-hospital,No,Treatment,Diseases of the musculoskeletal system or connective tissue,Patellofemoral pain syndrome,Parallel Assignment,评估远程康复对髌股疼痛患者的症状效果  ,2023,12.4,2,200,山西大学校医院 ,山西省,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not yet recruiting,18,45,All,randomized-NP,The researcher will use a randomization tool (www.randomizer.org) to generate random sequences.,single(outcomes assessor),对参与评估的科研人员实施盲法，并要求不参与干预部分。
14,ChiCTR2300078638,Effectiveness of telerehabilitation for patients with KOA,Interventional,NP,national government/fund,中央高校基本业务基金,Fully-automated,Non-hospital,No,Treatment,Diseases of the musculoskeletal system or connective tissue,Knee OA,Parallel Assignment,评估远程康复对膝骨关节炎患者的疗效  ,2023,24.8,2,80,北京体育大学医院 ,北京市,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not yet recruiting,50,75,All,simple randomization,Random number table,single(outcomes assessor),对参与评估的科研人员实施盲法，并要求不参与干预部分。
15,ChiCTR2300078146,The Effect of Remote Baduanjin Training on Pain and Function in Patients with Chronic Neck Pain,Interventional,Phase 1,self-fund,自筹,Fully-automated,Non-hospital,yes,Treatment,"Symptoms, signs or clinical findings, not elsewhere classified",Chronic Neck Pain,Parallel Assignment,探究线上八段锦训练对比线上牵伸训练对慢性颈痛患者疼痛以及功能的疗效。  ,2023,4.066666667,3,100,西安体育学院 ,陕西省,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Recruiting,18,65,All,stratified randomization,"All subjects will be assigned to a random plan in sequence, and a random number table will be created by the experimental researchers using SPSS (25.0) statistical software, except for the experimental intervention. After being pulled into the group, all subjects will be numbered according to the list in the group, and will be divided into the eight section brocade group, the stretching group, and the health education group according to the random number table.",single(outcomes assessor),所有的评估都由一位对试验分组和干预过程不知情的评估者完成。
16,ChiCTR2300077231,"A prospective, randomized controlled trial to compare the effects of exercise intervention between telerehabilitation via APP-supervised and routine home-based exercise in patients with pelvic floor dysfunction and related musculoskeletal problems",Interventional,Early Phase 1,hospital/university,中央高水平临床专科提升项目,Guided,Non-hospital,No,Treatment,Diseases of the circulatory system,Pelvic floor dysfunction,Parallel Assignment,探索远程监督下运动训练对盆底功能障碍症状的改善程度、盆底肌群功能的变化，以及腰痛、骨盆带疼痛、生活质量和运动训练依从性的影响。  ,2023,14.2,2,100,中国医学科学院北京协和医院  ,北京市,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not yet recruiting,18,50,Female,block randomization,"Block randomization was completed by a third party who is not involved in the study through the randomization website (https://www.random.org/), and the envelope method was used to divide the participants into two groups.",Open label,无
17,ChiCTR2300077207,Study on the effect of Xiangya's self-programmed elastic band exercise rehabilitation programme on physical fitness of elderly patients with sarcopenia based on remote monitoring,Interventional,Early Phase 1,self-fund,研究者发起,Guided,Non-hospital,No,Management,Diseases of the musculoskeletal system or connective tissue,sarcopenia,Parallel Assignment,主要目的： 探索基于远程监控下湘雅自编弹力带操康复治疗程序对老年肌少症患者握力的改变情况。 次要目的： 1. 探索基于远程监控下湘雅自编弹力带操康复治疗程序对老年肌少症患者心肺适能、步行速度、下肢肌力、柔韧适能、平衡适能的改变情况； 2. 监测试验组和对照组不良事件的发生率，评估基于远程监控下的湘雅自编弹力带操康复程序的安全性。,2023,12.16666667,2,1000,中南大学湘雅医院 ,湖南省,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Recruiting,60,90,All,block randomization,"Using the method of randomised grouping of zones, subjects were randomly assigned to two groups (Group A, the control group, and Group B, the experimental group) in a 1:1 ratio. 1. Depending on the number of subgroups in the study, the size of the zone group is chosen to be 4, which produces 6 permutations: AABB, BBAA, ABAB, BABA, ABBA, BAAB; 2. Obtain random numbers from a table of random numbers; 3. Use the remainder method: take 2 random numbers in sequence, divide by 6, and take the remainder; 4. Grouping: take the remainder of the district group arrangement, random grouping is completed.",single(outcomes assessor),被分配到干预组的参与者知道所分配的组别，结果评估员和数据分析员将对分配不知情。
18,ChiCTR2300076969,Comparison of supervised home-based tele-pulmonary rehabilitation with traditional center-based rehabilitation: a non-inferiority randomized controlled trial,Interventional,Early Phase 1,provincial government/fund,宁夏回族自治区重点研发计划,Guided,Non-hospital,No,Treatment,Diseases of the respiratory system,Chronic obstructive pulmonary disease,Parallel Assignment,评估稳定期慢阻肺患者监监督下远程居家肺康复效果是否非劣于传统中心肺康复。  ,2023,24.36666667,2,500,宁夏医科大学总医院 ,宁夏回族自治区,吴忠市人民医院 ,宁夏回族自治区 ,石嘴山第二人民医院 ,宁夏回族自治区 ,盐池县人民医院 ,宁夏回族自治区 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Recruiting,40,80,All,block randomization,"Stratified block randomization will be used, with a computer-generated randomization scheme, to stratify the samples based on lung function (FEV1 < or >= 50% predicted) and recruitment site.",single(outcomes assessor),评估者盲法
19,ChiCTR2300076950,Construction and empirical study of the telemedicine-based home care program for palliative care patients,Interventional,Early Phase 1,provincial government/fund,湖南省科技厅重点领域研发计划项目（2020K2121）资助,Guided,Non-hospital,No,Management,Factors influencing health status or contact with health services,N/A,Parallel Assignment,采用类实验研究对构建的安宁疗护患者远程居家照护方案进行应用效果验证，旨在全面实现对安宁疗护患者的全病程信息化管理，其成果有助于提高患者对远程照护的感知水平，最终形成信息连续、管理连续、关系连续的高品质闭环安宁疗护远程居家照护服务模式。  ,2023,8.033333333,2,250,湖南省肿瘤医院 ,湖南省,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Completed,18,90,All,NP,None,NP,
20,ChiCTR2300076945,Prospective interventional study of home-based cardiac rehabilitation with XINZHILIAO software system on exercise tolerance in patients with coronary heart disease,Interventional,Early Phase 1,industry,浙江好络维医疗技术有限公司,Guided,Non-hospital,No,Management,Diseases of the circulatory system,Coronary heart disease,Parallel Assignment,评价心知了系统远程心脏康复管理的有效性和安全性，主要干预措施为使用心知了可穿戴设备进行监测下的运动管理和服药提醒，主要评价指标为冠心病患者运动耐量的改善。次要终点包括使用心知了系统指导心脏康复系统的依从性和安全性、心知了指导心脏康复系统治疗3个月后各项指标（复合终点；6分钟步行试验；患者用药依从性、肌力、柔韧性、平衡性、协调性；自我症状量表、体重、腰围、血糖血压血脂达标率）的变化。验证基于心知了系统的心脏康复治疗可改善冠心病运动风险低危患者的运动耐量及临床预后，探索如何使用AI算法对心脏康复远程开展提供支持，具有重要的临床意义。,2023,11.13333333,2,60,中日友好医院 ,北京市,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Recruiting,18,,All,Non-Randomized,N/A,NP,
21,ChiCTR2300076701,"Clinical application of remote blood pressure management based on ""Yijiayi - cloud sharing intelligent cabinet""",Interventional,Early Phase 1,industry,医家医云科技(北京)有限公司,Guided,Non-hospital,No,Management,Diseases of the circulatory system,high blood pressure hypertension,Parallel Assignment,1.评价基于“医家医-云享智能柜”的远程血压管理临床效果”； 2.调查透过“医家医-云享智能柜”普及远程血压管理的可行性”。,2023,24.33333333,3,1260,中国医学科学院阜外医院 ,北京市,北京市丰台区马家堡社区卫生服务中心 ,北京 ,北京市丰台区方庄社区卫生服务中心 ,北京 ,河南省栾川县中医院 ,河南 ,河南省巩义市人民医院 ,河南 ,河南省叶县人民医院 ,河南 ,西峡县人民医院 ,河南 ,镇平县人民医院 ,河南 ,青岛大学附属心血管病医院 ,山东 ,济南市中心医院 ,山东 ,Recruiting,18,75,All,stratified randomization,"Hypertension patients who meet the inclusion criteria will be stratified by age and gender, and grouped using a random system.",Open label,无
22,ChiCTR2300076563,"A prospective, randomized controlled trial to compare the therapeutic effects of Scoliosis specific exercise between remote rehabilitation and outpatient rehabilitation in Adolescent Idiopathic Scoliosis",Interventional,Phase 1,hospital/university,中央高水平医院专科提升项目,Guided,Non-hospital,No,Treatment,Diseases of the circulatory system,Adolescent idiopathic scoliosis,Parallel Assignment,探索借助远程技术SSE运动方案对AIS患者Cobb角度、ATR、步态及外观的影响，为AIS患者远程康复治疗、指南制定提供高级别的循证医学证据。  ,2023,23.96666667,2,80,中国医学科学院北京协和医院 ,北京市,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Recruiting,10,17,All,randomized-NP,"A randomized grouping method was adopted, and 80 patients were randomly divided into 2 groups with 40 patients in each group. Enrolled patients were numbered according to the order of enrollment. 80 patients were assigned to remote treatment group or outpatient treatment group by randomization website (https://www.random.org/).",NP,未说明
23,ChiCTR2300076451,"Effects of remote exercise support based on ""online exercise prescription"" on exercise behavior of patients with hypertension",Interventional,Early Phase 1,municipal government/fund,广东省佛山市南海区里水镇0-100岁全生命周期健康服务体系项目,Fully-automated,Non-hospital,No,Management,Diseases of the circulatory system,Hypertension,Parallel Assignment,探讨基于“线上运动处方”的远程运动支持对高血压患者运动行为的影响。  ,2023,15.23333333,2,58,南方医科大学珠江医院 ,广东省,广东省人民医院 ,广东 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not yet recruiting,18,70,All,simple randomization,"They were divided into the control group and the intervention group by random number table method, with 28 cases in each group.",Open label,无
24,ChiCTR2300076127,Digital technologies for the post-operative remote care and rehabilitation of thoracic and cardiac surgery patients,Interventional,NP,hospital/university,中央财政专项资金+单位自筹,Guided,Non-hospital,No,Management,Factors influencing health status or contact with health services,Rehabilitation after thoracic and cardiac surgery,Parallel Assignment,建立远程监护和康复的临床量化评价体系，以此全面评估该项目在中国社会及医疗环境下的可行性。  ,2020,42.6,2,1000,华东医院 ,上海市,复旦大学附属中山医院 ,上海市 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Recruiting,18,75,All,simple randomization,"Random envelope method. A statistician independent of the clinical trial used Excel to generate a random number table with a 1:1 ratio between the experimental group and the control group. Put strips of paper with grouping information into opaque envelopes in random order. After verifying the inclusion and exclusion criteria, the researchers recorded the basic information of the subjects (initial letter, age, gender, screening number, etc.) and opened the random envelopes in random order to determine whether the patient was assigned to the experimental group or the control group.",Open label,无
25,ChiCTR2300075729,A randomized controlled study of the efficacy of sequential OPEP combined with inhalation therapy in patients with acute exacerbation of chronic obstructive pulmonary disease,Interventional,Phase 1,self-fund,由研究者发起,Adjunctive,Non-hospital,No,Management,Diseases of the respiratory system,Chronic obstructive pulmonary disease,Parallel Assignment,评估序贯OPEP联合吸入治疗远程管理方法对慢性阻塞性肺疾病急性加重期患者运动耐力及的影响。  ,2023,10.13333333,2,60,广州医科大学附属第一医院 ,广东省,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Recruiting,40,90,All,randomized-NP,The randomization plan was generated by the online random permutation generator on the http://www.randomization.com website,Open label,无
26,ChiCTR2300075688,A randomized controlled study of the efficacy of sequential OPEP combined with inhalation therapy in patients with stable chronic obstructive pulmonary disease,Interventional,NP,self-fund,由研究者发起,Adjunctive,Non-hospital,No,Management,Diseases of the respiratory system,Chronic obstructive pulmonary disease,Parallel Assignment,评估序贯OPEP联合吸入治疗远程管理方法对慢性阻塞性肺疾病稳定期患者运动耐力及的影响。  ,2023,12.2,3,90,广州医科大学附属第一医院 ,广东省,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Recruiting,40,90,All,randomized-NP,The randomization plan was generated by the online random permutation generator on the http://www.randomization.com website.,Open label,无
27,ChiCTR2300075292,Clinical outcomes of postoperative application of combination of telerehabilitation with a novel digital biofeedback system after ankle lateral ligament repair / reconstruction,Interventional,NP,industry,上海复动医疗管理有限公司,Fully-automated,Non-hospital,No,Management,"Injury, poisoning or certain other consequences of external causes",Rupture of ankle lateral ligament,Parallel Assignment,前瞻性地开展基于远程康复系统的踝关节外侧韧带术后康复治疗的临床研究，比较远程康复系统与传统线下治疗师面对面康复方式的可靠性与有效性，为今后的远程康复治疗以及远程康复服务全面铺开夯实基础。  ,2023,24.1,2,78,复旦大学附属华山医院 ,上海市,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Recruiting,18,60,All,block randomization,"Before the clinical trial, professional biostatisticians use the EXCEL random number table to generate a random allocation sequence, which is realized by the block randomization method with a block length of 2. According to different rehabilitation methods, they are divided into the experimental group and the control group.",Open label,无
28,ChiCTR2300074870,"Pre research on the application of trinity software of family rehabilitation, telemedicine and informatization classroom for aphasia after stroke under the framework of ""Internet+""",Interventional,Early Phase 1,hospital/university,医院项目自筹,Adjunctive,Non-hospital,No,Management,Diseases of the nervous system,stroke,Parallel Assignment,观察朗读治疗法（ORLA）同步远程言语康复对卒中后失语症（PSA）患者疗效和生活质量的影响。  ,2019,40.7,3,42,四川省八一康复中心 ,四川省,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Completed,18,70,All,block randomization,Computer random number table method,Open label,无
29,ChiCTR2300074463,Perioperative tele-rehabilitation in elderly patients undergoing pneumonectomy：a randomized controlled trial,Interventional,Early Phase 1,hospital/university,中央高水平临床专科提升项目,Fully-automated,Non-hospital,No,Management,Diseases of the circulatory system,lung cancer,Parallel Assignment,本研究旨探索远程围术期康复干预对老年肺切除术患者心肺耐力、力量、平衡、日常生活能力、生活质量、情绪，以及术后肺部并发症、术后拔管时间、术后住院时间的影响，为远程康复治疗应用于老年外科手术患者提供高级别的循证医学证据  ,2023,6.1,2,86,中国医学科学院北京协和医院 ,北京市,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not yet recruiting,60,90,All,randomized-NP,"Statistical software was SPSS 23.0. The Kolmogorov-Smirnov test or Shapiro-wilk test were used to test the normality of the measurement data. The mean (95% confidence interval of the population mean) was used to represent the approximate normal distribution, and the t test of two independent samples was used",Open label,无
